"";"Sample_name";"Sample_ID_demultiplexing";"SITE_PAIR";"PLOT_ID";"SUBPLOT";"SITE_ID";"MANAGEMENT";"MESH_TYPE";"locality_id";"GDD0";"precip_Plot_ID_coll_3";"N %";"C/N";"E3pH";"percent_mass_loss";"ergosterol_new";"bioclim_10";"bioclim_7";"vac.myr"
"71";"BRA_NN_L_39";"S077";4;7;39;"BRA";"NN";"L";"BRA_NN_39";"3843.9322916666665";"847.151499649975";"1.52";"32.7";"4.47";"42.7971637390321";0,346178003;14,17911625;52,40879822;"0"
"72";"BRA_NN_S_39";"S078";4;7;39;"BRA";"NN";"S";"BRA_NN_39";"3843.9322916666665";"847.151499649975";"1.52";"32.7";"4.47";"50.3845667250607";0,246046941;14,17911625;52,40879822;"0"
"73";"BRA_NN_L_40";"S079";4;7;40;"BRA";"NN";"L";"BRA_NN_40";"3898.65625";"847.151499649975";"1.52";"32.7";"4.47";"47.8302812965171";0,370219192;14,17911625;52,40879822;"0.1"
"74";"BRA_NN_S_40";"S080";4;7;40;"BRA";"NN";"S";"BRA_NN_40";"3898.65625";"847.151499649975";"1.52";"32.7";"4.47";"45.3372505129897";0,233562095;14,17911625;52,40879822;"0.1"
"75";"HAL_CC_L_91_rep";"S083";8;16;91;"HAL";"CC";"L";"HAL_CC_91";"5146.307942708333";"1339.29309870524";"1.41";"35.8";"4.39";"57.6461510024525";0,367663765;16,2103157;45,49749756;"13"
"76";"STR_NN_L_109_rep";"S089";10;19;109;"STR";"NN";"L";"STR_NN_109";"3806.1764322916665";"1454.4902000078";"1.41";"38.4";"4.31";"41.3073273144906";0,339951803;13,60954952;48,0102005;"26"
"77";"STR_CC_L_115_rep";"S092";10;20;115;"STR";"CC";"L";"STR_CC_115";"3669.069661458333";"1440.01009707886";"1.52";"35.2";"4.39";"49.8022533417361";0,344501887;13,773633;47,82040024;"8"
"78";"STR_CC_S_115_rep";"S093";10;20;115;"STR";"CC";"S";"STR_CC_115";"3669.069661458333";"1440.01009707886";"1.52";"35.2";"4.39";"66.2338908165148";0,33802561;13,773633;47,82040024;"8"
"79";"STR_CC_L_116_rep";"S094";10;20;116;"STR";"CC";"L";"STR_CC_116";"3764.597005208333";"1440.01009707886";"1.52";"35.2";"4.39";"49.4882272768388";0,351051124;13,773633;47,82040024;"4"
"80";"BRA_NN_L_41";"S097";4;7;41;"BRA";"NN";"L";"BRA_NN_41";"3887.3209635416665";"847.151499649975";"1.52";"32.7";"4.47";"48.7454498393724";0,312902921;14,17911625;52,40879822;"0.1"
"81";"BRA_NN_S_41";"S098";4;7;41;"BRA";"NN";"S";"BRA_NN_41";"3887.3209635416665";"847.151499649975";"1.52";"32.7";"4.47";"46.2190960569298";0,369972417;14,17911625;52,40879822;"0.1"
"82";"BRA_NN_L_42";"S099";4;7;42;"BRA";"NN";"L";"BRA_NN_42";"3948.6256510416665";"847.151499649975";"1.52";"32.7";"4.47";"54.2765801131871";0,299989243;14,17911625;52,40879822;"0.1"
